user_id;registration_date;payment_date;revenue;payment_service_id;place;country;product_type
891319275;05.11.2017 19:57;12.11.2017 21:57;12727;147;TrialVipPopup;FR;trial
892421826;14.10.2017 12:46;23.10.2017 12:54;14586;147;TrialVipPopup;IL;trial
891822480;26.10.2017 22:27;12.11.2017 20:59;1911;19;none;IT;coins
891367521;05.11.2017 2:37;06.11.2017 19:15;1456;127;sympathy_access;IT;other
892207959;18.10.2017 18:30;12.11.2017 12:03;1261;19;EmptyLikes;FR;coins
891721851;29.10.2017 2:50;05.11.2017 7:15;4602;146;EmptyLikes;US;coins
892333905;16.10.2017 1:38;16.10.2017 2:08;12610;19;Gifts;IT;coins
892207959;18.10.2017 18:30;29.10.2017 3:20;3783;67;EmptyLikes;FR;other
892380396;15.10.2017 9:02;23.10.2017 13:27;13403;147;TrialVipPopup;AU;trial
891739737;28.10.2017 18:50;14.11.2017 1:20;6305;19;EmptyLikes;US;coins
892210755;18.10.2017 17:18;25.10.2017 19:29;9971;147;TrialVipPopup;CL;trial
891716358;29.10.2017 6:55;29.10.2017 23:17;4914;147;Dating;IN;prem
891792453;27.10.2017 15:37;27.10.2017 15:48;1313;19;none;AU;coins
892333905;16.10.2017 1:38;16.10.2017 1:44;3783;67;Menu;IT;other
892277877;17.10.2017 3:36;10.11.2017 15:23;897;19;EmptyLikes;US;coins
891131061;09.11.2017 7:04;09.11.2017 23:38;6292;147;LeftMenu;CL;prem
892405224;14.10.2017 19:57;17.10.2017 19:05;1261;19;EmptyLikes;IL;coins
891254103;06.11.2017 19:19;10.11.2017 20:48;1261;19;EmptyLikes;AE;coins
891135642;09.11.2017 3:14;10.11.2017 17:55;481;19;none;CL;coins
891320823;05.11.2017 19:37;12.11.2017 18:52;6305;19;autorefill;US;coins
892366260;15.10.2017 15:04;09.11.2017 20:06;6305;19;autorefill;GB;coins
891707061;29.10.2017 10:54;04.11.2017 0:30;1261;19;EmptyLikes;AR;coins
891365490;05.11.2017 3:55;06.11.2017 0:28;1261;19;EmptyLikes;US;coins
891707061;29.10.2017 10:54;10.11.2017 0:04;1261;19;autorefill;AR;coins
892207959;18.10.2017 18:30;01.11.2017 4:39;1261;19;EmptyLikes;FR;coins
891142386;08.11.2017 23:02;08.11.2017 23:38;4680;147;LeftMenu;CH;prem
891739737;28.10.2017 18:50;12.11.2017 3:25;3783;67;Menu;US;other
891937230;24.10.2017 14:17;25.10.2017 14:28;6305;19;EmptyLikes;CA;coins
892333905;16.10.2017 1:38;16.10.2017 1:57;3783;67;EmptyAdmirations;IT;other
892269327;17.10.2017 10:09;24.10.2017 12:10;9789;147;TrialVipPopup;US;trial
892421277;14.10.2017 13:05;15.10.2017 13:11;47723;147;promo.key31;US;prem
891367521;05.11.2017 2:37;10.11.2017 1:52;1469;19;sympathy_access;IT;other
