user_id;age;attraction_distribution;coins;country;retention_days;sex;user_dating.age_start;user_dating.age_end;view_count;was_special;is_special;total_revenue
892309896;27;685;;US;1,2,3,4,5,6,7,8,9,10,11,12,16,17;1;24;30;89;;;0
892044516;27;0;;DE;;1;24;30;0;;;0
892185708;45;44;;IL;1,3,4,6,7,8,10,11,12,13,14,15,16,17,18,19,20,22,23,26;1;42;48;68;;;0
892130292;32;0;;US;1,2,3,4,5,6,7,8,9,10,11,12;1;29;35;0;;;0
891406035;27;1000;;FR;;1;24;30;1;1;;0
891083133;24;0;;ES;1;1;16;27;0;;;0
891304281;39;0;;FR;;1;36;42;0;;;0
892431420;21;909;;AU;;1;18;24;11;;;0
891085770;28;0;;IT;1,2,3,4;1;25;31;1;;;0
891142707;30;600;;IL;1,2,4,5,6;1;19;33;10;;;0
891092496;27;0;;AR;1,2,4;1;19;32;0;;;0
892090878;46;349;;DE;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25;1;28;49;106;;;0
891853752;23;166;;ES;1,2;1;20;99;6;;;0
891219699;30;1000;;US;;1;27;33;1;1;;0
891194814;51;277;;DE;1,2,3,4,5,6,7,8;1;48;54;108;;;0
892172469;26;600;;US;1;1;23;29;5;;;0
891832515;20;0;;US;;1;17;23;1;;;0
891974583;37;625;;BE;1;1;34;40;16;;;0
892241715;30;0;;AZ;;1;16;50;0;;;0
892379415;27;0;;ES;1,2,3,5;1;24;30;4;;;0
891152790;29;769;;ES;2,5,6;1;16;32;13;1;1;12597
891226986;28;0;;AU;;1;16;28;0;;;0
892382745;24;222;;US;;1;21;27;9;;;0
891896010;27;500;;ES;1;1;20;28;2;;;0
891454650;57;98;;IT;1,2,3,4,6,7,9,11;1;54;60;71;;;0
891574950;49;0;;CL;3;1;46;52;4;;;0
891343695;34;1000;;FR;;1;31;37;1;;;0
891933093;19;83;;US;;1;16;22;12;;;0
891337404;38;500;;US;1,2,3,4;1;35;41;2;;;0
891876042;43;200;;PT;1,2,3,4,6,7,9,10,13,15,17;1;40;46;5;;;0
891329364;35;111;;IL;;1;32;38;18;;;0
891277974;55;0;;US;;1;40;73;1;;;0
891240360;26;709;;BE;;0;18;54;262;;;0
892400388;47;74;;IL;1,2,3;1;44;50;81;;;0
891698625;44;0;;IT;;1;41;47;0;;;0
892333656;50;436;4;US;1,2,3,4;1;47;53;126;;;897
891348462;24;466;;US;;1;16;36;15;1;;0
891589686;24;500;;US;1,2,3,4,5,6,7,8,9,10,11;1;21;27;2;;;0
892371375;16;1000;;CL;;1;16;20;2;;;0
892312011;31;200;;US;;1;16;50;10;;;0
891229296;20;0;;US;1;1;17;23;4;;;0
892095222;59;1000;;FR;;1;35;62;6;;;0
891060093;29;0;;GB;;1;26;32;0;;;0
891059562;32;0;;ES;;1;29;35;0;;;0
891589239;21;303;37;IT;1,2,3,4,5,6,7,8,9;1;18;24;181;1;1;37817
891285732;22;500;;US;1,2,3,4,6,8;1;19;25;4;;;0
891821706;31;90;;AR;1,2,3,4,5;1;19;34;11;;;0
892387935;42;0;;US;1;0;39;75;0;;;0
892100166;25;0;;ES;2,4,5;1;22;28;2;;;0
892017222;47;744;;US;1;1;44;50;47;;;0
891144237;32;500;;US;;1;29;35;2;;;0
891327384;23;200;;IT;2,3,5,7,8;1;20;26;5;;;0
891300924;21;1000;;IT;1,2,3,4,5,6,7,9;1;18;24;2;;;0
891125559;24;1000;;US;1,3;1;21;27;2;;;0
892073151;20;0;;US;;0;17;23;3;;;0
891877095;32;629;;AE;1,2,3,4,5,6;1;25;60;27;;;0
891084219;38;0;;AR;1;1;23;45;1;;;0
892345149;28;800;;MA;1,2,3,4,5,6;1;25;31;5;;;0
892433982;20;333;;US;1,2,3,4,6,8,10;1;17;30;9;1;;0
892140771;62;351;;IT;1,2,3,4,5,6,7;1;16;92;148;1;;0
891723039;27;1000;;ES;1,3;1;24;30;1;;;0
892354650;18;416;;GT;1,2,3,4,5,6,7,8,9,13,14,16,17,18,19,21,22,23,24,27,30,60;1;15;21;12;;;0
891681555;21;0;;IT;2;1;18;24;3;;;0
891282651;21;1000;;US;;1;18;24;3;;;0
891303921;22;0;;US;;1;19;25;0;;;0
891194592;24;0;;US;;1;21;27;0;;;0
891627294;21;250;;IT;;1;21;34;4;;;0
892434747;16;571;;US;1,2,3;1;16;32;14;;;0
891320976;36;428;;CL;1,2,3,4,5,7,8;1;33;39;7;;;0
891954210;23;350;;US;2,3,4,5,7,8,9,11,12;1;20;26;20;;;0
891910674;38;0;;AR;1,2;1;35;41;0;;;0
892129560;26;442;;AE;1,2,3,4,5,6,7,8,9,11;1;23;29;61;;;0
892104165;40;823;;IT;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16;1;16;20;17;;;0
892229757;20;153;;CL;1;1;17;23;26;;;0
892383906;22;238;;US;1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,60;1;19;25;42;;;0
892182279;33;400;;US;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26;0;30;36;1186;;;0
892315125;20;134;;IL;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29;1;16;21;52;;;0
892349013;40;714;;US;3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30;1;37;43;203;;;0
891286821;25;0;;CL;1,2,3,4;1;22;28;0;;;0
892099806;27;166;;CL;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25;1;23;29;6;;;0
891622323;45;159;;US;;0;42;48;808;;;0
891701346;24;673;;CA;;0;21;27;144;;;0
891425115;31;55;;GB;1;1;28;69;18;;;0
891248238;33;62;;ES;;1;30;36;16;;;0
891986364;41;461;;US;1,2,3,4,5,6,7,8,9,11,12,13,14,15,17,18,19,21,22;1;38;44;52;;;0
892332252;20;0;;ES;1;1;17;23;1;;;0
891114381;28;1000;;ES;1,2,3,4,5;1;25;31;1;;;0
891285795;37;500;;AU;;1;34;40;2;;;0
891316236;23;0;;US;1;1;20;26;1;;;0
891974940;58;553;;US;;1;19;39;47;;;0
892381809;26;750;;US;1;1;19;49;4;;;0
891200127;39;0;;DE;1,2,3,4,5,7;1;36;42;0;;;0
891225258;43;416;;CL;1,2,3,4,5,6,7,8;1;25;50;60;;;0
892050057;39;200;;ES;1,8;1;36;42;5;;;0
891353388;33;818;;ES;2,3,4,6,7,9;1;16;36;11;;;0
891448611;23;0;;IT;;1;20;26;4;;;0
891381948;22;500;;IT;;1;19;25;4;;;0
891761364;24;0;;CL;1,3,4,5,7,8,9,10,12,13,14,15,16,17;1;20;29;2;;;0
891152664;38;550;;US;1,2,3,4;0;40;99;656;;;0
892045269;16;1000;;CL;;1;13;19;3;;;0
891343671;26;0;24;FR;1,2,3,4,5,6,7,8,9;1;23;35;37;1;1;21580
891735132;29;250;;CL;1,2,8,9,10,11,12,15,16,17,18;1;26;32;4;;;0
891307005;30;0;;FR;;1;23;33;0;;;0
892156083;16;0;;US;2,8,10,20,22,26;0;16;46;0;;;0
891346905;49;93;;DE;1;1;33;49;64;;;0
892430988;28;181;;US;1,2;1;25;31;22;1;1;12727
892032492;18;71;;US;;1;18;21;14;;;0
891650049;16;250;;AE;1,2,3,4,5,6,7,8,9,10,11,12,13,15;1;16;20;4;;;0
891989046;18;666;;US;1,2;1;16;99;24;;;0
891083268;24;952;;US;1,4;1;21;30;21;;;0
891228963;57;375;;AR;;1;50;60;8;;;0
891128856;44;200;;IT;1,2,3,4,5,6;1;41;47;5;;;0
891890886;53;242;;IT;;1;35;60;70;;;0
891659778;42;1000;;AR;1;1;39;45;1;1;;0
891916974;27;250;;FR;1;1;24;99;8;;;0
892100022;19;142;;PT;1,2,4,5,6,8,9,10,12,13,16;1;16;22;7;;;0
891278079;24;500;;US;2;1;21;27;2;;;0
891732693;28;400;;US;;1;25;31;5;;;0
891139554;41;697;;US;1,2,3,4,5,6,7;1;25;42;208;;;0
892113843;17;333;;US;;1;16;20;6;;;0
891222963;28;250;;CL;;1;16;31;4;;;0
892287885;31;25;;DE;1;1;28;34;40;;;0
891378024;30;500;;DE;1;1;27;33;4;1;;0
891157971;47;553;;IT;1,2,3,4,5;1;16;40;65;;;0
891347046;30;466;;GB;2,4,5,6,8;1;27;42;30;1;;1261
891931653;42;0;;US;;1;39;45;0;;;0
891880296;26;1000;;AR;1;1;23;29;1;;;0
892358919;28;0;;ES;;1;25;31;0;;;0
892270215;41;0;;FR;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,26,27,28;1;38;44;0;;;0
891816066;25;0;;US;7;1;22;28;0;;;0
892437204;22;540;;US;1,2,3,5,7,8,10,11,12,13,15,16,17,18,19,20,21,22,23,24,28,29,30,60;0;19;25;2414;;;0
891466446;41;114;;AR;1,2,3,4,5,6,7,8,9,10,11,12;1;18;41;35;;;0
891653940;28;500;;US;1,2,3,4,5,6,7,9,10,12,13,15;1;25;31;52;;;0
892348248;33;58;;DE;1,2,3,4;1;19;24;17;;;0
891919368;29;250;;FR;;1;26;32;4;1;1;16536
892193988;36;333;;IT;2;1;33;39;6;;;0
891289827;49;0;;CL;;1;46;52;1;;;0
